UNITNAME,CanBuild,BuiltBy,UnitNumber,DefaultMissionType,wpri_badTargetCategory,ActivateWhenBuilt,Description,MaxDamage,SelfDestructAs,buildangle,FootprintZ,MetalStorage,Copyright,DamageModifier,Version,BMcode,SIDE,BadTargetCategory,StandingFireOrder,Designation,BuildCostEnergy,WorkerTime,Builder,YardMap,Name,firestandorders,ShootMe,FootprintX,EnergyStorage,FrenchName,NoChaseCategory,Category,canattack,Weapon1,NoShadow,EnergyUse,SightDistance,downloadable,ThreeD,ZBuffer,ExplodeAs,BuildCostMetal,NoAutoFire,TEDClass,Corpse,GermanDescription,BuildTime,RadarDistance,ItalianDescription,WaterLine,ItalianName,canguard,Objectname,SoundCategory,GermanName,Frenchdescription,SpanishDescription,canstop,SpanishName,MinWaterDepth,MaxVelocity,StandingMoveOrder,MaxSlope,canpatrol,canmove,Upright,TurnRate,MaxWaterDepth,Acceleration,maneuverleashlength,MovementClass,Weapon3,wspe_badTargetCategory,BrakeRate,EnergyMake,mobilestandorders,SteeringMode,Ovradjust,Digger,canhover,Builddistance,CanReclamate,MetalMake,ImmuneToParalyzer,CantBeTransported,Init_cloaked,Stealth,CloakCost,HideDamage,CanCapture,wsec_badTargetCategory,Weapon2,candgun,Scale,cruisealt,BankScale,amphibious,Canfly,sortbias,selfdestructcountdown,ExtractsMetal,onoffable,transportsize,canload,transportcapacity,transportmaxunits,Floater,Antiweapons,MakesMetal,SonarDistance,PitchScale,IsAirBase,ai_limit,ai_weight,HoverAttack,CloakCostMoving,HealTime,ShowPlayerName,norestrict,mincloakdistance,RadarDistanceJam,PigLatinName,PigLatinDescription,JapaneseName,canbuild,IsFeature,kamikazedistance,kamikaze,TidalGenerator,canland,canresurrect,canrepair,resurrect,istargetingupgrade,Commander,attackrunlength,altfromsealevel,MoveRate1,WindGenerator,
ARMAABOT,,ARMALAB ARMNOMAD_FACT ,9981995,Standby,NLND,n/a,Rapid-Fire Anti-Air Kbot,1925,BIG_UNIT,n/a,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,1,ARM,MOB,2,AHM,14140,0,0,n/a,Partisan,1,1,3,0,n/a,MOB,ARM MOB NAIR NSUB NSHP NEXP ALL LEV2 CTRL_G CTRL_K CTRL_W,1,NULL_WEAPON,n/a,0,480,1,1,1,BIG_UNITEX,825,0,KBOT,armaabot_dead,n/a,19855,0,n/a,n/a,n/a,1,ARMAABOT,MAVERICK,n/a,n/a,n/a,1,n/a,n/a,1.025,1,16,1,1,n/a,360,12,0.05,640,TANKSH3,MISSILE_FAST,NLND,0.05,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORVIPE,,CORACA CORACK CORACV CORACH CORCOM_SUP CORCRAB ,20014,GUARD_NOMOVE,AIR,n/a,Pop-up Heavy Laser,3240,SMALL_BUILDING,n/a,2,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1.2,0,CORE,AIR,2,CORE-VIP,15309,0,0,oooo,Viper,1,1,2,0,n/a,MOB,CORE BLDG NAIR NSUB NSHP NLND NEXP NNUK ALL LEV2 CTRL_X,1,LASER_HEAVY,n/a,0,672,1,1,1,SMALL_BUILDINGEX,1485,0,FORT,corvipe_dead,n/a,25978,0,n/a,n/a,n/a,n/a,CORVIPE,HLT,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,10,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMSAM,,ARMNOMAD_FACT ARMVP ,60,Standby,NLND,n/a,Anti-Air Vehicle,975,BIG_UNIT,n/a,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,1,ARM,MOB,2,ARM-MML5,1219,0,0,n/a,Samson,1,1,3,0,Samson,MOB,ARM MOB NAIR NSUB NSHP NEXP NNUK ALL LEV1 CTRL_W CTRL_G CTRL_V,1,NULL_WEAPON,n/a,0.5,448,n/a,1,1,BIG_UNITEX,128,0,TANK,armsam_dead,Mobiler Raketenwerfer,2631,32,Lanciamissili mobile,n/a,Samson,1,ARMSAM,ARM_VEHICLE,Samson,Lance-missiles mobile,Lanzamisiles móvil,1,Samson,n/a,1.25,1,16,1,1,n/a,511,12,0.03,640,TANKSH3,MISSILE_AA_TRUCK,NLND,0.012,0.5,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORFH,,CORHP CORFHP ,194,Standby,FLM,n/a,Flamethrower Hovertank,1320,BIG_UNIT,n/a,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1.2,1,CORE,AIR,2,ARM-MRJ,4604,0,0,n/a,Salamander,1,1,3,0,n/a,AIR,CORE MOB NAIR NSUB NSHP NEXP NNUK ALL LEV1 CTRL_H CTRL_W,1,FLAMETHROWER,n/a,2.1,288,1,1,1,BIG_UNITEX,300,0,TANK,corfh_dead,n/a,6051,32,n/a,n/a,n/a,1,CORFH,CORE_HOVER_MID,n/a,n/a,n/a,1,n/a,n/a,1.95,1,16,1,1,n/a,775,0,0.075,640,TANKHOVER3,n/a,n/a,0.08,2.1,1,1,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORUWMFUS,,CORCS CORCH CORCOM CORDECOM CORCOM_SUP CORCSA ,196,n/a,n/a,0,"Produces Energy (75, Adjacency Bonus)",2528,ESTOR_BUILDING,8192,4,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1.2,0,CORE,n/a,n/a,EF-UW2,5425,0,0,oooo oooo oooo oooo,Underwater Powerplant,n/a,n/a,4,0,n/a,n/a,CORE BLDG NAIR NSUB NSHP NLND NEXP ALL LEV1,n/a,n/a,n/a,-75,128,1,1,1,ESTOR_BUILDINGEX,825,0,ENERGY,coruwmfus_dead,n/a,10668,0,n/a,n/a,n/a,n/a,CORUWMFUS,CORE_UWFUSION,n/a,n/a,n/a,n/a,n/a,30,n/a,n/a,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,75,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMYORK,,ARMNOMAD_FACT ARMAVP ,303,Standby,NLND,n/a,Mobile Flak Vehicle,1863,BIG_UNIT,n/a,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,3.0,1,ARM,MOB,2,ARM-MML5,10500,0,0,n/a,Phalanx,1,1,3,0,Phalange,MOB,ARM MOB NAIR NSUB NSHP NEXP NNUK ALL LEV2 CTRL_W CTRL_G CTRL_V,1,NULL_WEAPON,n/a,0.5,512,1,1,1,BIG_UNITEX,519,0,TANK,armyork_dead,Mobile Flak-Einheit,15285,32,Veicolo d'artiglieria Mobile,n/a,Falange,1,ARMYORK,ARM_VEHICLE,Phalanx,Véhicule antiaérien,Vehículo Móvil Antiaéreo,1,Phalanx,n/a,1.1,0,16,1,1,n/a,511,12,0.03,128,TANKSH3,FLAK_HALF,NLND,0.012,0.5,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORPOUND,,COREVP ,110,Standby,NEXP,0,Experimental Area Pulse Emitter (7.2K Energy/Second),24480,UNIT_BLAST,n/a,6,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.125,1,1,CORE,AIR,2,PS20,1273980,0,0,n/a,Pounder,1,1,6,0,n/a,AIR,CORE BIG MOB NAIR NSUB NSHP NNUK ALL LEV3 CTRL_G CTRL_V CTRL_W,1,POUND_BLAST,n/a,1,672,1,1,1,UNIT_BLAST,18880,0,TANK,corpound_dead,n/a,305755,1344,n/a,n/a,n/a,1,CORPOUND,CORE_BIGTANK,n/a,n/a,n/a,1,n/a,n/a,0.75,0,16,1,1,n/a,96,12,0.009,640,TANKSH6,n/a,n/a,0.03,1,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMSCAR,,ARMESY ,92113,Standby,AIR,1,Battle Carrier / Radar Targeting Upgrade,23625,UNIT_BIG_BLAST,16384,13,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.375,1,1,ARM,AIR,2,SB-3-VT,1123300,300,1,n/a,Atlantis,1,1,13,0,n/a,ALL,ARM BIG MOB NAIR NSUB NLND NEXP ALL LEV3 CTRL_L CTRL_R,1,CANNON_LRPC_ARM,n/a,1250,1344,n/a,1,1,UNIT_BIG_BLAST,18210,0,SHIP,armscar_dead,n/a,280825,5376,n/a,0,n/a,1,ARMSCAR,BIG_SHIP,n/a,n/a,n/a,1,n/a,30,1.4,1,n/a,1,1,n/a,64,n/a,0.015,640,BOATD13,MISSILE_SCAR,n/a,0.02,250,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,
ARMEHP,ARMHBATS ARMHROY ARMECH ARMCHARGER ARMHCRUS ,ARMACH ,179,n/a,n/a,n/a,Builds Hovercraft,11270,ATOMIC_BLAST,n/a,18,400,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1.2,0,ARM,n/a,2,ARM-AH,450453,360,1,..................,Exp. Hovercraft Platform,1,n/a,18,400,n/a,n/a,ARM LAB NAIR NSUB NSHP NLND ALL LEV3 CTRL_F,n/a,n/a,n/a,0,224,1,1,1,ATOMIC_BLAST,16056,0,PLANT,armehp_dead,n/a,108945,0,n/a,n/a,n/a,n/a,ARMEHP,ARM_HOVER_PLANT,n/a,n/a,n/a,1,n/a,n/a,n/a,1,10,1,1,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMFAHP,ARMHFLAK ARMHART ARMACH ARMHJAM ARMHTANK ARMHARL ARMHCAR ARMHSTUN ,ARMCH ARMCOM_SUP ,17927,n/a,n/a,n/a,Builds Hovercraft,4508,LARGE_BUILDING,n/a,10,200,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1.2,0,ARM,n/a,2,ARM-FAH,31275,270,1,wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw,Adv. Floating Hover Plant,1,n/a,10,200,n/a,n/a,ARM LAB NAIR NSUB NSHP NLND NEXP NNUK ALL LEV2 CTRL_F,n/a,n/a,1,0,224,1,1,1,LARGE_BUILDINGEX,3427,0,PLANT,armfahp_dead,n/a,25765,0,n/a,1,n/a,n/a,ARMFAHP,ARM_HOVER_PLANT,n/a,n/a,n/a,1,n/a,30,n/a,1,10,1,1,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORMART,,CORAVP ,117,Standby,NLND,n/a,Mobile Artillery Vehicle,1800,BIG_UNIT,n/a,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,1,CORE,NLND,2,MB-PS15,5116,0,0,n/a,Pillager,1,1,3,0,Maraudeur,NLND,CORE MOB NAIR NSUB NSHP LEV2 NEXP NNUK ALL CTRL_G CTRL_V CTRL_W,1,CANNON_ART_MEDIUM,n/a,0.5,448,n/a,1,1,BIG_UNITEX,376,0,TANK,cormart_dead,Mobile Artillerie,8140,32,Artiglieria mobile,n/a,Artiglieria mobile,1,CORMART,CORE_TANK,Pillager,Artillerie mobile,Artillería móvil,1,Artillería Móvil,n/a,0.975,1,12,1,1,n/a,240,0,0.006,640,TANKSH3,n/a,n/a,0.009,0.5,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORHART,,CORAHP CORFAHP ,194,Standby,AIR,n/a,Rocket Hovertank,2286,BIG_UNIT,n/a,4,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1.2,1,CORE,AIR,2,COR-HHRJ,24963,0,0,n/a,Ambassador,1,1,4,0,n/a,AIR,CORE MOB NAIR NSUB NSHP NEXP NNUK ALL LEV2 CTRL_H CTRL_W,1,ROCKET_HRK,n/a,2.1,384,1,1,1,BIG_UNITEX,1475,0,TANK,corsnap_dead,n/a,26415,32,n/a,n/a,n/a,1,CORHART,CORE_HOVER_MID,n/a,n/a,n/a,1,n/a,n/a,1.35,1,16,1,1,n/a,720,0,0.04,640,TANKHOVER4,VLAUNCH_HRK,AIR,0.08,2.1,1,1,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMTL,,ARMCA ARMCK ARMCV ARMDECOM ARMCOM_SUP ARMCS ARMCH ARMCOM ARMCSA ,72,GUARD_NOMOVE,NSHP,1,Torpedo Launcher,2175,MEDIUM_UNIT,16384,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,0,ARM,NSHP,2,AS-TDS,3987,0,0,www www www,Harpoon,1,1,3,0,Torpillard,n/a,ARM BLDG NAIR NSUB NSHP NLND NEXP NNUK ALL LEV1 CTRL_X,1,TORPEDO_COAX,1,0.1,256,n/a,1,1,MEDIUM_UNIT,362,0,WATER,armtl_dead,Torpedowerfer,5150,0,Lancia-torpedini,10,Lancia-torpedini,1,ARMTL,ARM_SHIP,T. Launcher,Lance-torpilles,Lanzatorpedos,1,Lanzatorpedos,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,512,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
CORGATOR,,CORVP ,108,Standby,AIR,n/a,Assault Tank,653,BIG_UNIT,n/a,2,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1,1,CORE,AIR,2,TA-PB4,887,0,0,n/a,Instigator,1,1,2,0,Agitator,AIR,CORE MOB NAIR NSUB NSHP NEXP NNUK ALL LEV1 CTRL_G CTRL_V CTRL_W,1,LASER_GATOR,n/a,0.5,224,n/a,1,1,BIG_UNITEX,110,0,TANK,corgator_dead,Gefechtspanzer,1910,24,Carro armato d'assalto,n/a,Instigator,1,CORGATOR,CORE_TANK,Instigator,Char d'assaut,Tanque de asalto,1,Instigator,n/a,2.1,1,10,1,1,n/a,475,12,0.02,640,TANKSH2,n/a,n/a,0.01,0.5,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMATL,,ARMACSUB ARMACSA ARMACH ARMCOM_SUP ,219,GUARD_NOMOVE,NSHP,1,Advanced Torpedo Launcher,8320,BIG_UNIT,16384,3,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,1.2,0,ARM,NSHP,2,AS-TDS,9884,0,0,ooo ooo ooo,Moray,1,1,3,0,Torpillard,n/a,ARM BLDG NAIR NSUB NSHP NLND NEXP NNUK ALL LEV2 CTRL_X,1,TORPEDO_ATL,1,0.1,384,1,1,1,BIG_UNITEX,1762,0,WATER,armatl_dead,Verbesserter Torpedowerfer,12584,0,Lanciatorpedini avanzato,0,Lanciatorpedini avanzato,1,ARMATL,ADV_TORPLAUNCH,Verbesserter Torpedowerfer,Lance-Torpilles,Lanzatorpedos Avanzado,1,Lanzatorpedos Avanzado,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,768,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMAAP,ARMBRAWL ARMLANCE ARMACA ARMMUAT ARMHAWK ARMAWAC ARMPNIX ,ARMECA ARMCA ARMCOM_SUP ,1,n/a,n/a,n/a,Produces Aircraft,2775,LARGE_BUILDING,n/a,6,200,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,0,ARM,n/a,2,ARM-ACF,24413,240,1,ooooooo occccco occccco occccco occccco occccco,Adv. Aircraft Plant,1,n/a,7,200,Usine aéro. évoluée,n/a,ARM LAB NAIR NSUB NSHP NLND NEXP NNUK ALL LEV2 CTRL_F,n/a,n/a,n/a,0,224,n/a,1,1,LARGE_BUILDINGEX,2765,0,PLANT,armaap_dead,Tech Level 2,21177,1344,Produce velivoli,n/a,Fabbrica Aerei Spec.,n/a,ARMAAP,AIRPLANT,Verb. Flugzeugfabrik,Niveau Tech 2,Produce aeronaves,1,Planta Av. Constr.Aeronaves,n/a,n/a,1,10,1,1,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMMUAT,,ARMAAP ARMAPLAT ,12,Standby,n/a,n/a,Multi-Unit Air Transport,2840,BIG_UNIT,n/a,5,0,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1,1,ARM,n/a,0,AFD-T2A,11830,0,0,n/a,Sky Crane,1,1,5,0,n/a,n/a,ARM AIR MOB NSUB NSHP NSTN FLM NLND NNUK ALL LEV3 CTRL_T,n/a,MUAT_UNLOAD,n/a,0.6,448,n/a,1,1,BIG_UNIT,848,0,VTOL,n/a,n/a,19344,672,n/a,n/a,n/a,1,ARMMUAT,ARM_BIGVTOL,n/a,n/a,n/a,1,n/a,n/a,9,1,10,1,1,0,400,255,0.2,1280,n/a,n/a,n/a,15,0.6,1,1,1,n/a,n/a,n/a,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,n/a,MUAT_UNLOAD,n/a,0.8,100,0.1,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.1,n/a,limit ARMMUAT 0,weight ARMMUAT 0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMNOVA,,ARMELAB ,46,Standby,AIR,n/a,Mobile Long Range Plasma Cannon (1.25K Energy/Shot),9680,UNIT_BIG_BLASTSML,n/a,5,0,Copyright 1997 Humongous Entertainment. All rights reserved.,n/a,3.1,1,ARM,AIR,2,RM,183935,0,0,n/a,Nova,1,1,5,0,n/a,AIR,ARM BIG MOB NAIR NSUB NSHP NEXP ALL LEV3 CTRL_G CTRL_V CTRL_W,1,CANNON_NOVA_LT,n/a,2.4,672,1,1,1,UNIT_BIG_BLASTSML,7710,0,TANK,armnova_dead,n/a,94595,64,n/a,n/a,n/a,1,ARMNOVA,CRAWL,n/a,n/a,n/a,1,n/a,n/a,0.8,0,12,1,1,n/a,176,0,0.015,640,TANKSH5,CANNON_NOVA_HT,AIR,0.015,0.4,1,1,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,RANGE_3072,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
ARMAPLAT,ARMBRAWL ARMACSA ARMLANCE ARMMUAT ARMHAWK ARMAWAC ARMPNIX ,ARMECSA ARMCSA ,242,n/a,n/a,n/a,Builds Advanced Aircraft,2775,ATOMIC_BLASTSML,n/a,10,200,Copyright 1997 Humongous Entertainment. All rights reserved.,0.25,1.2,0,ARM,n/a,2,ARM-SAD,24413,240,1,wwwwwwwwww wCCCCCCCCw  wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw wCCCCCCCCw  wCCCCCCCCw  wCCCCCCCCw wwwwwwwwww,Adv. Seaplane Platform,1,n/a,10,200,n/a,n/a,ARM LAB NAIR NSUB NSHP NLND NEXP NNUK ALL LEV2 CTRL_F,n/a,n/a,1,0,224,1,1,1,ATOMIC_BLASTSML,2765,0,PLANT,armaplat_dead,n/a,21177,0,n/a,46,n/a,n/a,ARMAPLAT,ARM_SEAPLN_PLANT,n/a,n/a,n/a,1,n/a,30,n/a,1,n/a,1,1,n/a,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1,n/a,1,n/a,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
